Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
33,-0.00,-0.00,0.01,-0.11,-0.12,9.68,0,0,0
34,-0.01,-0.01,0.01,-0.07,-0.17,9.56,0,0,0
35,-0.00,-0.01,0.02,-0.02,-0.12,9.63,0,0,0
36,-0.01,-0.00,0.01,-0.14,-0.20,9.52,0,0,0
37,-0.00,-0.00,0.01,-0.18,-0.21,9.58,0,0,0
38,-0.00,-0.00,0.00,-0.01,-0.12,9.66,0,0,0
39,-0.00,-0.00,0.01,-0.01,-0.12,9.66,0,0,0
40,-0.00,-0.01,0.02,-0.15,-0.15,9.57,0,0,0
41,-0.00,-0.01,0.02,-0.12,-0.16,9.60,0,0,0
42,-0.01,-0.00,0.01,-0.14,-0.21,9.55,0,0,0
43,-0.00,-0.01,0.01,-0.03,-0.20,9.55,0,0,0
44,-0.00,-0.00,0.01,-0.13,-0.13,9.60,0,0,0
45,-0.00,-0.00,0.01,-0.13,-0.10,9.63,0,0,0
46,-0.00,-0.01,0.01,-0.12,-0.13,9.53,0,0,0
47,-0.00,-0.00,0.01,-0.16,-0.11,9.65,0,0,0
48,-0.00,-0.01,0.01,-0.03,-0.15,9.67,0,0,0
49,-0.00,-0.01,0.02,-0.10,-0.15,9.57,0,0,0
50,-0.00,-0.01,0.02,-0.05,-0.11,9.58,0,0,0
51,-0.00,-0.00,0.01,-0.11,-0.18,9.53,0,0,0
52,-0.00,-0.01,0.01,-0.05,-0.18,9.62,0,0,0
53,-0.01,-0.01,0.01,-0.04,-0.17,9.64,0,0,0
54,-0.00,-0.01,0.01,-0.03,-0.18,9.61,0,0,0
55,-0.00,-0.01,0.02,-0.12,-0.15,9.58,0,0,0
56,-0.00,-0.01,0.01,-0.13,-0.17,9.55,0,0,0
57,-0.00,-0.01,0.01,-0.05,-0.17,9.61,0,0,0
58,-0.00,-0.00,0.02,-0.14,-0.16,9.55,0,0,0
59,-0.01,-0.01,0.01,-0.08,-0.18,9.61,0,0,0
60,-0.00,-0.01,0.01,-0.08,-0.21,9.62,0,0,0
61,-0.00,-0.00,0.01,-0.10,-0.14,9.63,0,0,0
62,-0.00,-0.01,0.01,-0.08,-0.19,9.56,0,0,0
63,-0.00,-0.01,0.01,-0.07,-0.18,9.60,0,0,0
64,-0.00,-0.00,0.01,-0.11,-0.21,9.60,0,0,0
65,-0.00,-0.00,0.02,-0.09,-0.15,9.59,0,0,0
66,-0.00,-0.00,0.02,-0.06,-0.18,9.56,0,0,0
67,-0.00,-0.01,0.02,-0.14,-0.16,9.50,0,0,0
68,-0.00,-0.01,0.01,-0.13,-0.17,9.60,0,0,0
69,-0.00,-0.00,0.01,-0.10,-0.12,9.58,0,0,0
70,-0.00,-0.01,0.01,-0.03,-0.14,9.57,0,0,0
71,-0.01,-0.01,0.02,-0.03,-0.14,9.62,0,0,0
72,-0.01,-0.00,0.02,-0.12,-0.19,9.60,0,0,0
73,-0.01,-0.01,0.01,-0.11,-0.19,9.56,0,0,0
74,-0.00,-0.01,0.01,-0.11,-0.16,9.70,0,0,0
75,-0.00,-0.00,0.01,-0.08,-0.13,9.61,0,0,0
76,-0.00,-0.01,0.02,-0.13,-0.24,9.55,0,0,0
