Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
129,0.11,0.09,0.01,0.67,0.17,9.91,0,0,0
130,0.10,0.09,0.02,0.50,0.18,9.94,0,0,0
131,0.07,0.08,0.02,0.45,0.17,9.88,0,0,0
132,0.06,0.07,0.06,0.42,0.13,9.83,0,0,0
133,0.05,0.06,0.07,0.45,0.03,9.77,0,0,0
134,0.06,0.04,0.04,0.49,-0.07,9.84,0,0,0
135,0.07,0.05,0.04,0.62,-0.23,9.80,0,0,0
136,0.11,0.07,0.05,0.58,-0.23,9.91,0,0,0
137,0.13,0.08,0.03,0.51,-0.04,9.84,0,0,0
138,0.12,0.09,0.00,0.57,0.19,10.02,0,0,0
139,0.11,0.09,-0.00,0.52,0.23,9.97,0,0,0
140,0.09,0.09,-0.01,0.52,0.18,9.91,0,0,0
141,0.08,0.08,-0.01,0.41,0.28,9.95,0,0,0
142,0.06,0.08,-0.01,0.54,0.20,9.91,0,0,0
143,0.06,0.08,-0.01,0.65,0.16,9.95,0,0,0
144,0.07,0.09,0.04,0.66,-0.03,9.90,0,0,0
145,0.08,0.09,0.07,0.53,-0.09,9.75,0,0,0
146,0.09,0.09,0.07,0.49,-0.09,9.77,0,0,0
147,0.10,0.10,0.07,0.45,-0.10,9.77,0,0,0
148,0.11,0.09,0.06,0.45,-0.07,9.76,0,0,0
149,0.11,0.08,0.04,0.51,-0.08,9.83,0,0,0
150,0.11,0.08,0.05,0.55,-0.09,9.93,0,0,0
151,0.10,0.09,0.06,0.61,-0.08,9.91,0,0,0
152,0.11,0.09,0.03,0.57,-0.02,9.92,0,0,0
153,0.11,0.10,0.02,0.56,-0.11,9.92,0,0,0
154,0.13,0.11,0.03,0.52,-0.15,9.73,0,0,0
155,0.14,0.12,0.03,0.48,-0.14,9.84,0,0,0
156,0.16,0.12,0.03,0.48,-0.10,9.82,0,0,0
157,0.17,0.12,0.02,0.45,0.01,9.81,0,0,0
158,0.17,0.12,0.01,0.52,0.19,9.95,0,0,0
159,0.16,0.12,0.02,0.56,0.24,10.07,0,0,0
160,0.12,0.12,0.05,0.43,0.22,9.90,0,0,0
161,0.11,0.11,0.05,0.37,0.21,9.90,0,0,0
162,0.10,0.09,0.04,0.45,0.04,9.79,0,0,0
163,0.10,0.09,0.05,0.51,-0.06,9.81,0,0,0
164,0.11,0.09,0.08,0.62,-0.18,9.76,0,0,0
165,0.13,0.09,0.09,0.52,-0.21,9.73,0,0,0
166,0.15,0.10,0.06,0.55,-0.14,9.75,0,0,0
167,0.16,0.11,0.04,0.48,-0.06,9.82,0,0,0
168,0.15,0.11,0.03,0.40,0.04,9.92,0,0,0
169,0.14,0.09,0.02,0.32,0.19,9.92,0,0,0
170,0.12,0.08,0.03,0.34,0.15,9.94,0,0,0
171,0.10,0.07,0.01,0.37,0.11,9.88,0,0,0
172,0.10,0.07,0.02,0.44,0.13,9.97,0,0,0
173,0.11,0.07,0.05,0.51,-0.01,9.92,0,0,0
174,0.12,0.08,0.07,0.50,-0.07,9.80,0,0,0
175,0.14,0.07,0.06,0.45,-0.07,9.74,0,0,0
176,0.15,0.08,0.04,0.47,-0.05,9.78,0,0,0
177,0.16,0.07,0.02,0.45,0.19,9.97,0,0,0
178,0.14,0.06,0.01,0.45,0.23,9.98,0,0,0
179,0.11,0.05,0.01,0.55,0.19,10.02,0,0,0
180,0.09,0.05,-0.00,0.62,0.18,9.94,0,0,0
181,0.08,0.06,0.01,0.59,0.12,9.83,0,0,0
182,0.13,0.07,0.04,0.61,-0.14,9.77,0,0,0
183,0.16,0.09,0.03,0.49,-0.00,9.74,0,0,0
184,0.16,0.10,0.03,0.48,0.13,9.94,0,0,0
185,0.15,0.09,0.02,0.48,0.18,9.93,0,0,0
186,0.14,0.10,0.03,0.54,0.31,9.98,0,0,0
187,0.12,0.10,0.02,0.48,0.22,9.93,0,0,0
188,0.11,0.10,-0.00,0.45,0.11,9.92,0,0,0
189,0.10,0.09,-0.01,0.43,0.15,9.88,0,0,0
190,0.09,0.07,-0.01,0.56,-0.12,9.85,0,0,0
191,0.10,0.07,-0.02,0.59,-0.14,9.75,0,0,0
192,0.13,0.08,0.00,0.52,-0.20,9.79,0,0,0
193,0.14,0.08,0.04,0.45,-0.02,9.81,0,0,0
194,0.14,0.08,0.01,0.56,0.07,9.95,0,0,0
195,0.14,0.09,0.01,0.61,0.15,9.94,0,0,0
196,0.13,0.10,0.03,0.55,0.17,9.88,0,0,0
197,0.13,0.09,0.05,0.37,0.26,9.87,0,0,0
198,0.11,0.08,0.05,0.37,0.21,9.86,0,0,0
199,0.10,0.07,0.02,0.55,0.08,9.90,0,0,0
200,0.10,0.08,0.04,0.51,0.06,9.85,0,0,0
201,0.11,0.06,0.04,0.55,-0.02,9.73,0,0,0
202,0.12,0.07,0.04,0.62,-0.01,9.85,0,0,0
203,0.14,0.08,0.07,0.53,0.07,9.95,0,0,0
204,0.13,0.08,0.05,0.51,0.12,9.91,0,0,0
205,0.11,0.08,0.01,0.58,0.10,9.95,0,0,0
206,0.10,0.08,0.01,0.57,0.05,9.86,0,0,0
207,0.10,0.08,-0.00,0.55,0.08,9.87,0,0,0
208,0.10,0.08,-0.03,0.54,0.06,9.81,0,0,0
209,0.10,0.07,-0.04,0.57,-0.05,9.80,0,0,0
210,0.12,0.08,-0.02,0.58,-0.06,9.89,0,0,0
211,0.14,0.09,0.01,0.63,-0.13,9.82,0,0,0
212,0.16,0.11,0.06,0.57,-0.03,9.77,0,0,0
213,0.17,0.11,0.07,0.46,0.09,9.89,0,0,0
214,0.16,0.09,0.04,0.43,0.34,9.89,0,0,0
215,0.15,0.08,0.04,0.52,0.29,10.07,0,0,0
216,0.10,0.08,0.03,0.53,0.36,9.97,0,0,0
217,0.10,0.10,0.02,0.53,0.01,9.78,0,0,0
218,0.11,0.10,0.01,0.57,-0.03,9.77,0,0,0
219,0.12,0.10,0.01,0.47,-0.05,9.73,0,0,0
220,0.13,0.08,0.03,0.57,0.03,9.92,0,0,0
221,0.13,0.09,0.00,0.56,0.14,9.90,0,0,0
222,0.12,0.10,-0.00,0.51,0.09,9.84,0,0,0
223,0.12,0.11,-0.02,0.52,0.16,9.82,0,0,0
224,0.12,0.10,0.00,0.59,0.14,9.86,0,0,0
225,0.12,0.10,0.05,0.48,0.15,9.85,0,0,0
226,0.14,0.11,0.05,0.49,0.11,9.80,0,0,0
227,0.13,0.09,0.05,0.44,0.20,9.92,0,0,0
228,0.11,0.08,0.04,0.48,0.22,9.89,0,0,0
229,0.10,0.09,0.05,0.50,0.20,9.96,0,0,0
230,0.08,0.08,0.05,0.39,0.23,9.89,0,0,0
231,0.06,0.05,0.03,0.47,0.21,10.03,0,0,0
232,0.06,0.05,0.06,0.45,0.03,9.82,0,0,0
233,0.07,0.05,0.03,0.53,0.00,9.85,0,0,0
234,0.08,0.06,0.04,0.67,-0.11,9.94,0,0,0
235,0.09,0.07,0.03,0.52,-0.05,9.86,0,0,0
236,0.10,0.08,-0.01,0.53,0.03,9.81,0,0,0
237,0.11,0.09,-0.02,0.58,-0.03,9.82,0,0,0
238,0.11,0.09,0.02,0.51,0.10,9.79,0,0,0
239,0.11,0.08,0.01,0.53,0.11,9.75,0,0,0
240,0.10,0.08,0.01,0.67,0.19,9.89,0,0,0
241,0.10,0.08,0.04,0.63,0.14,9.86,0,0,0
242,0.09,0.08,0.04,0.60,0.15,9.83,0,0,0
243,0.09,0.08,0.02,0.60,0.08,9.77,0,0,0
244,0.10,0.09,0.03,0.68,-0.03,9.85,0,0,0
245,0.11,0.09,0.02,0.55,0.04,9.86,0,0,0
246,0.10,0.08,-0.01,0.53,0.10,9.94,0,0,0
247,0.10,0.10,-0.01,0.54,0.06,9.91,0,0,0
248,0.11,0.10,0.02,0.49,0.10,9.80,0,0,0
249,0.11,0.10,0.03,0.53,-0.03,9.69,0,0,0
250,0.13,0.10,0.01,0.50,0.05,9.74,0,0,0
251,0.13,0.10,0.01,0.51,0.08,9.94,0,0,0
252,0.13,0.10,0.02,0.45,0.12,9.95,0,0,0
253,0.12,0.09,0.03,0.48,0.17,9.97,0,0,0
254,0.11,0.09,0.03,0.40,0.11,9.87,0,0,0
255,0.10,0.07,0.01,0.41,0.11,9.82,0,0,0
256,0.09,0.06,0.03,0.47,0.12,9.89,0,0,0
257,0.09,0.06,0.01,0.49,0.08,9.86,0,0,0
258,0.09,0.06,0.03,0.48,0.09,9.84,0,0,0
259,0.09,0.06,0.05,0.54,-0.05,9.76,0,0,0
260,0.11,0.06,0.04,0.62,-0.05,9.77,0,0,0
261,0.13,0.07,0.02,0.58,0.02,9.81,0,0,0
262,0.14,0.08,0.03,0.65,-0.06,9.89,0,0,0
263,0.15,0.09,0.01,0.61,0.15,10.00,0,0,0
264,0.14,0.09,0.01,0.65,0.20,9.99,0,0,0
265,0.12,0.09,0.02,0.64,0.15,9.90,0,0,0
266,0.12,0.09,0.03,0.58,0.17,9.90,0,0,0
267,0.12,0.09,0.04,0.58,0.17,9.79,0,0,0
268,0.11,0.08,0.04,0.61,0.10,9.77,0,0,0
269,0.11,0.08,0.05,0.59,0.05,9.86,0,0,0
270,0.11,0.08,0.06,0.63,-0.02,9.76,0,0,0
271,0.13,0.09,0.05,0.64,-0.03,9.71,0,0,0
272,0.14,0.10,0.05,0.52,0.02,9.80,0,0,0
273,0.13,0.08,0.03,0.42,0.12,9.92,0,0,0
274,0.13,0.08,0.02,0.48,0.11,9.98,0,0,0
275,0.12,0.08,0.00,0.47,0.13,9.95,0,0,0
276,0.12,0.09,-0.02,0.52,0.10,9.96,0,0,0
277,0.12,0.09,-0.03,0.55,0.09,9.84,0,0,0
278,0.13,0.10,-0.01,0.56,0.03,9.93,0,0,0
279,0.14,0.10,0.03,0.55,0.08,9.86,0,0,0
280,0.14,0.10,0.05,0.49,0.01,9.80,0,0,0
281,0.14,0.09,0.03,0.53,0.06,9.85,0,0,0
282,0.15,0.09,0.05,0.58,0.12,9.89,0,0,0
283,0.14,0.09,0.06,0.60,0.13,9.92,0,0,0
284,0.14,0.08,0.03,0.58,0.23,9.87,0,0,0
285,0.13,0.10,0.01,0.61,0.16,9.96,0,0,0
286,0.12,0.10,0.02,0.60,0.24,9.97,0,0,0
287,0.10,0.09,0.02,0.47,0.27,9.89,0,0,0
288,0.08,0.08,0.01,0.46,0.23,9.89,0,0,0
289,0.07,0.07,0.01,0.50,0.20,9.82,0,0,0
290,0.07,0.08,0.04,0.54,0.12,9.85,0,0,0
291,0.06,0.08,0.06,0.48,0.15,9.85,0,0,0
292,0.06,0.08,0.03,0.47,0.07,9.73,0,0,0
293,0.07,0.07,0.03,0.53,-0.08,9.69,0,0,0
294,0.08,0.08,0.04,0.55,-0.11,9.81,0,0,0
295,0.10,0.09,0.03,0.51,-0.04,9.86,0,0,0
296,0.11,0.08,0.04,0.49,0.07,9.85,0,0,0
297,0.11,0.08,0.03,0.49,0.10,9.91,0,0,0
298,0.10,0.07,0.02,0.54,0.09,9.95,0,0,0
299,0.11,0.08,0.03,0.69,-0.04,9.97,0,0,0
300,0.12,0.10,0.02,0.58,-0.07,9.91,0,0,0
301,0.12,0.10,0.02,0.53,0.04,9.83,0,0,0
302,0.12,0.09,0.04,0.48,0.03,9.78,0,0,0
303,0.13,0.09,0.05,0.51,0.09,9.87,0,0,0
304,0.12,0.07,0.03,0.56,0.07,9.89,0,0,0
305,0.12,0.07,0.03,0.58,0.11,9.87,0,0,0
306,0.10,0.07,0.01,0.53,0.20,9.85,0,0,0
307,0.10,0.07,0.01,0.70,0.21,9.89,0,0,0
308,0.10,0.09,0.05,0.76,-0.02,9.90,0,0,0
309,0.12,0.10,0.06,0.66,0.02,9.84,0,0,0
310,0.13,0.11,0.04,0.65,-0.03,9.81,0,0,0
311,0.15,0.12,0.02,0.48,0.11,9.81,0,0,0
312,0.15,0.12,0.03,0.44,0.16,9.81,0,0,0
313,0.14,0.10,0.02,0.53,0.11,9.84,0,0,0
314,0.13,0.10,0.01,0.57,0.12,9.92,0,0,0
315,0.13,0.10,0.02,0.60,0.09,9.95,0,0,0
316,0.13,0.11,0.02,0.54,0.15,9.88,0,0,0
317,0.12,0.11,0.01,0.54,0.14,9.92,0,0,0
318,0.11,0.11,0.01,0.48,0.12,9.81,0,0,0
319,0.11,0.11,0.02,0.46,0.16,9.85,0,0,0
320,0.11,0.11,0.01,0.51,0.09,9.92,0,0,0
321,0.10,0.10,0.01,0.46,0.03,9.83,0,0,0
322,0.11,0.10,0.02,0.51,0.02,9.82,0,0,0
323,0.11,0.09,0.03,0.50,-0.04,9.79,0,0,0
324,0.12,0.08,0.03,0.54,-0.04,9.81,0,0,0
325,0.14,0.09,0.02,0.60,-0.11,9.78,0,0,0
326,0.17,0.12,0.02,0.55,0.09,9.96,0,0,0
327,0.17,0.12,0.02,0.52,0.23,9.90,0,0,0
328,0.16,0.11,0.03,0.47,0.27,10.06,0,0,0
