Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
126,0.01,-0.01,0.01,0.26,0.00,9.74,0,0,0
127,0.01,-0.01,0.00,0.23,0.05,9.65,0,0,0
128,0.01,-0.01,0.00,0.18,0.11,9.63,0,0,0
129,0.01,-0.01,0.00,0.20,0.11,9.61,0,0,0
130,0.01,-0.01,0.00,0.17,0.10,9.69,0,0,0
131,0.01,-0.01,0.00,0.09,0.13,9.67,0,0,0
132,0.01,-0.01,0.01,0.07,0.13,9.70,0,0,0
133,0.00,-0.01,0.00,0.06,0.13,9.63,0,0,0
134,-0.00,-0.01,0.00,0.08,0.09,9.61,0,0,0
135,-0.00,-0.00,0.00,0.06,0.05,9.61,0,0,0
136,-0.00,-0.00,0.01,0.14,0.00,9.70,0,0,0
137,0.00,-0.01,0.00,0.12,-0.06,9.70,0,0,0
138,0.00,-0.01,0.01,0.15,-0.01,9.76,0,0,0
139,0.01,-0.01,0.00,0.20,-0.03,9.66,0,0,0
140,0.01,-0.01,0.00,0.20,0.04,9.65,0,0,0
141,0.01,-0.01,0.01,0.14,0.01,9.63,0,0,0
142,0.01,-0.01,0.01,0.15,0.08,9.64,0,0,0
143,0.01,-0.01,0.00,0.11,0.10,9.69,0,0,0
144,0.01,-0.01,0.00,0.09,0.15,9.71,0,0,0
145,0.00,-0.00,0.01,0.03,0.12,9.65,0,0,0
146,0.01,-0.01,0.00,0.04,0.11,9.62,0,0,0
147,0.00,-0.01,0.00,0.06,0.12,9.63,0,0,0
148,0.00,-0.01,0.00,0.11,0.12,9.61,0,0,0
149,-0.00,-0.01,0.01,0.11,0.12,9.73,0,0,0
150,-0.00,-0.00,0.01,0.14,0.11,9.67,0,0,0
151,-0.00,-0.01,0.00,0.16,0.04,9.72,0,0,0
152,0.00,-0.00,0.00,0.19,0.02,9.73,0,0,0
153,0.00,-0.01,0.00,0.18,0.03,9.64,0,0,0
